pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"GJ 676 A b","Radial Velocity","La Silla Observatory",,,3734.00
"GJ 676 A b","Radial Velocity","La Silla Observatory",,,
"GJ 676 A b","Radial Velocity","La Silla Observatory",,,
"GJ 581 b","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 581 b","Radial Velocity","La Silla Observatory",,,
"GJ 581 b","Radial Velocity","La Silla Observatory",,,
"GJ 581 b","Radial Velocity","La Silla Observatory",,,3500.00
"GJ 581 b","Radial Velocity","La Silla Observatory",,,3490.39
"GJ 581 b","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 581 b","Radial Velocity","La Silla Observatory",,,
"GJ 581 c","Radial Velocity","La Silla Observatory",,,
"GJ 581 c","Radial Velocity","La Silla Observatory",,,3500.00
"GJ 581 c","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 581 c","Radial Velocity","La Silla Observatory",,,
"GJ 581 c","Radial Velocity","La Silla Observatory",,,3490.39
"GJ 581 c","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 581 e","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 581 e","Radial Velocity","La Silla Observatory",,,
"GJ 581 e","Radial Velocity","La Silla Observatory",,,3500.00
"GJ 581 e","Radial Velocity","La Silla Observatory",,,
"GJ 581 e","Radial Velocity","La Silla Observatory",,,3396.00
"GJ 86 b","Radial Velocity","La Silla Observatory",,,
"GJ 86 b","Radial Velocity","La Silla Observatory",,,5182.00
"GJ 86 b","Radial Velocity","La Silla Observatory",,,5151.00
"HD 100777 b","Radial Velocity","La Silla Observatory",,,5582.00
"HD 100777 b","Radial Velocity","La Silla Observatory",,,
"HD 100777 b","Radial Velocity","La Silla Observatory",,,5533.00
"HD 10180 c","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 c","Radial Velocity","La Silla Observatory",,,
"HD 10180 c","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 d","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 d","Radial Velocity","La Silla Observatory",,,
"HD 10180 d","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 e","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 e","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 f","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 f","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 g","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 g","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 g","Radial Velocity","La Silla Observatory",,,
"HD 10180 h","Radial Velocity","La Silla Observatory",,,5911.00
"HD 10180 h","Radial Velocity","La Silla Observatory",,,5911.00
"HD 101930 b","Radial Velocity","La Silla Observatory",,,5079.00
"HD 101930 b","Radial Velocity","La Silla Observatory",,,5108.00
"HD 102117 b","Radial Velocity","La Silla Observatory",,,5667.88
"HD 102117 b","Radial Velocity","La Silla Observatory",,,5655.00
"HD 102117 b","Radial Velocity","La Silla Observatory",,,5695.00
"HD 102117 b","Radial Velocity","La Silla Observatory",,,5429.00
"HD 102117 b","Radial Velocity","La Silla Observatory",,,5672.00
"HD 103197 b","Radial Velocity","La Silla Observatory",,,5303.00
"HD 103197 b","Radial Velocity","La Silla Observatory",,,5250.00
"HD 104067 b","Radial Velocity","La Silla Observatory",,,4952.00
"HD 104067 b","Radial Velocity","La Silla Observatory",,,4939.01
"HD 104067 b","Radial Velocity","La Silla Observatory",,,4937.00
"HD 104067 b","Radial Velocity","La Silla Observatory",,,4969.00
"HD 108147 b","Radial Velocity","La Silla Observatory",,,6255.73
"HD 108147 b","Radial Velocity","La Silla Observatory",,890.00,6265.00
"HD 110014 b","Radial Velocity","La Silla Observatory",,,
"HD 110014 b","Radial Velocity","La Silla Observatory",,,
"HD 110014 b","Radial Velocity","La Silla Observatory",,,4445.00
"HD 111232 b","Radial Velocity","La Silla Observatory",,,5494.00
"HD 111232 b","Radial Velocity","La Silla Observatory",,,
"HD 111232 b","Radial Velocity","La Silla Observatory",,,
"HD 111232 b","Radial Velocity","La Silla Observatory",,,5512.00
"HD 111232 b","Radial Velocity","La Silla Observatory",,,5494.00
"HD 111232 b","Radial Velocity","La Silla Observatory",,,
"HD 113538 b","Radial Velocity","La Silla Observatory",,,4462.00
"HD 113538 b","Radial Velocity","La Silla Observatory",,,4685.00
"HD 113538 c","Radial Velocity","La Silla Observatory",,,4685.00
"HD 113538 c","Radial Velocity","La Silla Observatory",,,4462.00
"HD 114386 b","Radial Velocity","La Silla Observatory",,,4836.00
"HD 114386 b","Radial Velocity","La Silla Observatory",,,4804.00
"HD 114386 b","Radial Velocity","La Silla Observatory",,,4895.00
"HD 11977 b","Radial Velocity","La Silla Observatory",,,
"HD 11977 b","Radial Velocity","La Silla Observatory",,,4970.00
"HD 11977 b","Radial Velocity","La Silla Observatory",,,
"HD 121504 b","Radial Velocity","La Silla Observatory",,,6075.00
"HD 121504 b","Radial Velocity","La Silla Observatory",,,6027.00
"HD 125595 b","Radial Velocity","La Silla Observatory",,,4908.00
"HD 125595 b","Radial Velocity","La Silla Observatory",,,
"HD 125595 b","Radial Velocity","La Silla Observatory",,,4691.00
"HD 125612 c","Radial Velocity","La Silla Observatory",,,
"HD 125612 c","Radial Velocity","La Silla Observatory",,,5841.00
"HD 125612 c","Radial Velocity","La Silla Observatory",,,5900.00
"HD 125612 d","Radial Velocity","La Silla Observatory",,,
"HD 125612 d","Radial Velocity","La Silla Observatory",,,5900.00
"HD 125612 d","Radial Velocity","La Silla Observatory",,,5841.00
"HD 126525 b","Radial Velocity","La Silla Observatory",,,5638.00
"HD 130322 b","Radial Velocity","La Silla Observatory",,720.00,5330.00
"HD 130322 b","Radial Velocity","La Silla Observatory",,,5387.00
"HD 130322 b","Radial Velocity","La Silla Observatory",,,
"HD 130322 b","Radial Velocity","La Silla Observatory",,,5400.49
"HD 130322 b","Radial Velocity","La Silla Observatory",,,5308.00
"HD 134060 b","Radial Velocity","La Silla Observatory",,,5966.00
"HD 134060 c","Radial Velocity","La Silla Observatory",,,5966.00
"HD 136352 b","Radial Velocity","La Silla Observatory",1.66400000,905.00,5664.00
"HD 136352 b","Radial Velocity","La Silla Observatory",1.48200000,911.00,5850.00
"HD 136352 b","Radial Velocity","La Silla Observatory",1.64300000,,5664.00
"HD 136352 b","Radial Velocity","La Silla Observatory",,,5664.00
"HD 136352 b","Radial Velocity","La Silla Observatory",1.54221286,806.33,5739.00
"HD 136352 b","Radial Velocity","La Silla Observatory",,,5685.00
"HD 136352 c","Radial Velocity","La Silla Observatory",2.60800000,682.00,5850.00
"HD 136352 c","Radial Velocity","La Silla Observatory",2.70502784,603.66,5739.00
"HD 136352 c","Radial Velocity","La Silla Observatory",,,5685.00
"HD 136352 c","Radial Velocity","La Silla Observatory",2.85700000,,5664.00
"HD 136352 c","Radial Velocity","La Silla Observatory",,,5664.00
"HD 136352 c","Radial Velocity","La Silla Observatory",2.91600000,677.00,5664.00
